A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
59.658001	183.548996	1080.980957	3.504375	6.790000	-0.175000
115.350998	186.111008	1122.217041	3.259375	8.242500	-0.826875
85.643997	181.414001	1115.019043	1.430625	11.563125	-0.953750
66.734001	173.910995	1098.122070	3.666250	12.801250	-3.771250
57.522999	203.862000	1096.657959	2.594375	9.323125	-5.271875
20.923000	346.175018	1116.360962	-5.543125	4.270000	-3.294375
60.573002	474.763000	1151.375000	-14.485625	-1.802500	-5.158125
53.253002	483.425018	1112.822998	-27.247499	1.181250	-8.299375
50.630001	608.169983	1102.818970	-32.423126	10.110625	-17.653126
131.820999	559.614014	1105.259033	-32.016251	7.266875	-28.026251
172.813004	493.368011	1058.959961	-29.522499	-1.999375	-31.819374
195.505005	410.347015	1127.584961	-30.716875	-10.705625	-36.706249
209.108002	260.774994	1127.036011	-32.856251	-14.621250	-47.175625
244.427002	140.483002	1167.844971	-34.291248	-10.959375	-57.837502
231.373001	49.897999	1133.501953	-32.768749	-4.081875	-63.949375
228.505997	-26.352001	1088.484009	-24.202499	1.798125	-66.434372
242.779999	-138.348007	1060.729004	-10.482500	0.708750	-70.306252
203.069000	-119.987000	1052.555054	0.288750	-4.361875	-64.111252
180.376999	-202.703003	981.062988	14.673750	-2.231250	-61.805626
78.507004	-144.692001	1044.320068	23.060625	-7.980000	-57.754375
248.880005	-201.117004	1102.514038	23.060625	-27.654375	-39.943748
133.162994	-296.216003	1202.005005	24.154375	-27.654375	-39.943748
133.162994	-296.216003	1161.989014	14.581875	-24.329374	-34.103127
155.244995	-367.403015	1161.989014	10.018750	-30.423750	-26.551874
176.229004	-346.662994	1203.774048	11.103750	-23.441250	-0.901250
113.094002	-322.873016	1188.036011	6.496875	7.866250	9.655625
51.484001	-251.990997	1148.691040	15.093750	36.793751	10.031875
-47.640999	-144.692001	1104.099976	15.728125	30.585625	17.097500
-34.038002	-175.557999	1132.037964	18.878124	21.455000	16.533125
-0.305000	24.766001	1011.684998	12.363750	4.191250	3.539375
-56.181000	37.820000	1030.717041	-9.419375	0.288750	-6.068125
39.284000	23.668001	1095.620972	-21.665001	-1.168125	-6.448750
-4.880000	26.169001	1091.534058	-14.494375	-2.638125	-6.886250
34.465000	10.248000	1117.458984	-14.358750	-10.889375	3.294375
119.255005	4.209000	1126.853027	-0.638750	-22.798124	9.633750
