A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-139.201996	388.631012	1106.113037	-0.398125	1.203125	-2.117500
-141.276001	568.337036	1103.245972	2.926875	7.328125	-10.854375
-206.423996	550.463989	1068.842041	5.525625	8.710625	-21.559999
-169.884995	553.330994	1050.664062	0.485625	6.059375	-28.148750
-156.647995	433.893005	1102.941040	-0.783125	0.721875	-25.869375
-114.557999	375.088989	1107.454956	-2.231250	-4.134375	-39.440624
-64.233002	295.118011	1109.468018	-1.780625	-6.619375	-51.244373
1.525000	287.127014	1103.978027	4.493125	-10.508750	-51.620625
-19.153999	165.188004	1230.004028	11.799375	-11.226250	-55.264999
80.946999	38.552002	1150.703979	27.610624	-4.895625	-69.553749
35.501999	-46.177002	1143.445068	19.919374	-3.885000	-78.504997
-2.135000	-83.997002	1177.848999	7.910000	-6.991250	-77.625626
-35.746002	-53.070000	1116.666016	5.481875	-2.992500	-79.852501
-128.222000	-167.445007	1115.933960	11.891250	5.569375	-72.065002
-125.843002	-192.820999	1101.294067	14.113750	-3.771250	-58.931252
-182.207001	-318.420013	1157.718994	8.850625	-11.073125	-33.145000
-136.762009	-327.386993	1144.909058	-1.316875	-16.292500	-24.325001
-159.514999	-325.618011	1186.816040	2.988125	-6.479375	-29.036875
-246.867004	-221.430008	1150.032959	8.303750	1.793750	-39.116875
-204.716003	-153.171005	1130.696045	8.911875	1.006250	-27.781250
-204.960007	-114.985001	1110.322021	3.972500	3.167500	-16.156876
-194.772995	-74.724998	1068.659058	2.926875	-0.166250	-15.093750
-178.119995	-49.959000	1080.066040	-0.791875	-5.438125	-3.482500
-191.662003	-19.764000	1073.905029	-1.531250	6.956250	-5.670000
-213.927002	-8.784000	1058.228027	-0.503125	2.646875	-2.865625
-173.423004	38.552002	1074.453979	-0.660625	-3.801875	1.723750
-212.951004	39.406002	1068.536987	2.021250	-0.122500	0.787500
-178.791000	55.388000	1074.636963	2.349375	-9.773750	3.836875
-139.018997	66.001999	1091.777954	2.891875	-8.343125	5.442500
-131.943008	65.514000	1052.188965	4.567500	0.538125	1.391250
-178.791000	11.712000	1100.073975	-0.415625	-2.598750	5.744375
-203.923004	17.385000	1116.421997	1.461250	-2.288125	2.340625
-191.296005	9.211000	1104.039062	-0.721875	-0.958125	3.893750
-182.328995	52.459999	1112.701050	-2.848125	-3.145625	5.092500
-199.470001	27.389000	1108.248047	-0.826875	-2.983750	4.742500
-170.434006	25.864000	1097.328979	-1.032500	-3.950625	3.491250
-180.987000	44.591000	1105.869019	-1.408750	-1.802500	2.581250
-168.115997	83.631004	1085.556030	-0.153125	-0.726250	3.526250
-169.335999	171.897995	1117.764038	0.144375	-3.486875	1.710625
-154.085999	288.102997	1124.535034	1.229375	-6.794375	2.703750
-167.750000	397.842010	1120.082031	1.907500	-9.813125	-1.325625
-156.891998	391.558990	1111.603027	4.698750	-0.288750	-3.360000
-157.746002	398.024994	1088.422974	10.806250	4.392500	-6.584375
-187.147995	337.208008	1109.285034	12.140625	2.695000	-21.853125
-154.818008	343.735016	1094.950073	18.191250	6.741875	-27.488125
-90.524002	261.385010	1063.718018	15.308125	3.552500	-38.578751
-86.437004	247.660004	1064.816040	24.705626	-8.190000	-53.974377
-19.337000	142.190994	1082.932983	19.530001	-10.106250	-65.305626
-19.886000	122.244003	1076.711060	21.520624	0.039375	-68.171249
-19.276001	74.298004	1093.729980	19.643749	-6.518750	-75.722504
-3.904000	38.917999	1127.157959	17.920000	-16.257500	-81.195625
26.840000	37.453999	1154.364014	15.006250	-14.280000	-75.442497
-39.406002	-19.337000	1159.915039	14.210000	-7.634375	-73.119377
53.924000	-19.276001	1177.971069	24.618126	-9.471875	-63.341251
-67.039001	-97.599998	1164.734009	14.901250	-6.006875	-60.213123
-19.153999	-121.572998	1175.958008	18.549999	-3.736250	-48.426876
-102.541000	-89.548004	1172.541992	9.257500	-4.274375	-52.473751
-47.519001	-175.497009	1139.602051	6.295625	-7.577500	-45.955002
-75.945000	-61.183002	1141.432007	1.631875	-10.705625	-44.445625
-111.874001	-196.359009	1135.393066	0.026250	-3.145625	-28.118126
-177.632004	-141.214996	1153.448975	-5.617500	5.285000	-21.192499
-163.113998	-161.283997	1099.402954	-9.082500	6.055000	-17.395000
-200.385010	-162.138000	1119.899048	-13.632500	5.836250	-12.350625
-150.487000	-134.078003	1107.942993	-11.458125	3.666250	-16.279375
-186.660004	-107.848000	1115.629028	-6.186250	1.986250	-14.962500
-142.984009	-78.202003	1106.967041	-4.431875	0.770000	-10.478125
-183.548996	-34.892002	1122.277954	-1.610000	4.908750	-6.685000
-179.279007	-9.211000	1103.734009	-3.486875	4.458125	-3.937500
-376.675018	74.664001	1039.744995	1.518125	1.233750	-1.111250
-327.936005	103.944000	1046.088989	1.347500	-3.631250	-3.123750
-322.994995	90.524002	1050.968994	1.496250	-4.685625	-0.861875
