A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-281.820007	89.426003	1075.552002	2.642500	-4.423125	1.172500
-278.830994	89.426003	1072.624023	1.837500	-2.778125	0.415625
-271.266998	85.034004	1072.624023	1.618750	-4.532500	2.568125
-276.940002	114.924004	1092.937012	0.385000	-3.924375	-1.334375
-245.951996	166.835007	1070.489014	1.225000	-2.795625	-3.976875
-272.731018	191.113007	1087.020020	4.563125	-3.447500	-3.504375
-258.274017	332.816010	1082.140015	8.019375	-5.145000	-8.566250
-186.354996	433.283020	1000.522034	8.601250	-5.678750	-7.761250
-164.272995	457.804993	945.317017	2.874375	-2.603125	-15.312500
-152.622009	403.270996	980.330994	2.240000	3.723125	-23.480625
-186.904007	420.778015	971.913025	2.826250	9.751875	-31.644375
-177.083008	286.028992	1034.926025	0.984375	12.293750	-30.625000
-114.070000	237.412003	1055.971069	2.970625	24.596251	-31.373125
-202.824997	120.841003	1084.702026	2.800000	25.480000	-40.118752
-164.639008	113.764999	1095.682007	11.523750	13.120625	-45.040627
-212.158005	-21.045000	1110.566040	22.841875	3.889375	-51.904999
-254.186996	-16.042999	1126.303955	28.625626	-2.043125	-54.901875
-138.653000	-57.522999	1127.036011	31.158751	-17.605000	-59.622501
-320.677002	-20.923000	1177.604980	23.559376	-16.371250	-60.926250
-140.421997	-80.398003	1082.018066	22.190001	-18.086250	-65.708122
-313.906006	-127.734001	1164.551025	26.954374	-23.489374	-52.233124
-197.457001	-144.692001	1123.437012	26.433750	-15.789375	-47.013748
-257.907990	-161.772003	1124.962036	28.704374	-2.957500	-40.906250
-262.178009	-165.065994	1188.401978	10.552500	-10.062500	-29.242500
-355.996002	-128.527008	1219.145996	-1.741250	-1.741250	-24.526251
-317.261017	-149.084000	1159.915039	-1.798125	6.531875	-27.466249
-351.238007	-123.769005	1135.636963	5.101250	-4.029375	-30.970625
-298.838989	-81.984001	1087.020020	2.988125	-5.092500	-28.743750
-284.381989	-82.228004	1073.234009	-0.848750	-2.384375	-22.159374
-274.804993	-65.026001	1057.862061	-3.115000	-2.130625	-20.448750
-271.144989	-9.699000	1064.389038	-1.220625	-4.816875	-17.709999
-274.988007	1.830000	1062.375977	1.351875	-4.821250	-13.636875
-276.085999	53.008999	1064.572021	5.053125	-4.090625	-11.493125
-251.747009	48.434002	1094.583984	3.469375	-8.036875	-5.998125
-241.742996	70.210999	1105.807983	0.516250	-7.280000	-0.686875
-224.358002	44.225002	1115.019043	1.649375	-5.403125	-1.789375
-210.084000	60.633999	1115.690063	2.406250	-5.508125	-1.566250
-212.645996	65.331001	1109.041016	3.062500	-0.616875	-0.297500
-113.277000	75.152000	1141.859009	7.695625	-4.025000	6.798750
-112.728004	118.218002	1149.911011	5.495000	-6.597500	7.008750
-54.167999	171.837006	1138.321045	4.073125	-5.656875	7.704375
-83.814003	209.046997	1123.619995	1.246875	-5.223750	3.898125
-98.209999	242.719009	1101.233032	0.074375	1.653750	0.459375
-109.738998	309.453003	1116.666016	-3.338125	14.879375	-3.819375
-114.192001	457.683014	1102.635986	-12.166875	9.467500	-6.256250
-63.867001	500.078003	1065.364990	-6.663125	3.565625	1.592500
-64.416000	461.343018	1017.846008	10.640000	21.997499	-7.113750
-99.430000	424.864990	1075.430054	26.044374	20.724375	-10.963750
-74.603004	428.769012	1008.574036	27.164375	15.929375	-30.690624
-31.964001	294.325012	1024.800049	46.493126	16.839375	-22.715000
-10.553000	308.416016	1000.583008	31.434376	11.646250	-34.339375
-78.507004	51.056999	1133.807007	8.268750	7.000000	-38.605000
-114.557999	140.421997	1184.925049	-0.446250	12.661250	-59.797501
-108.030998	-35.563000	1123.985962	-1.435000	-3.346875	-83.431252
-82.106003	20.557001	1169.125977	4.208750	-16.865625	-78.815628
-12.017000	-74.054001	1143.201050	4.208750	-16.865625	-86.375626
-173.057007	-61.976002	1211.276978	6.982500	-22.448126	-86.375626
-173.057007	-61.976002	1086.898071	13.523125	-16.931250	-69.860001
17.141001	-77.835999	1086.898071	3.101875	-30.222500	-63.975624
-106.506004	-181.352997	1142.834961	4.375000	-24.193750	-55.343750
-104.188004	-78.202003	1137.894043	0.253750	-16.384375	-66.346878
-122.610001	-166.102997	1118.008057	-6.851250	-21.398125	-46.838749
-229.970001	-73.688004	1203.103027	-10.128125	-15.120000	-46.445000
-75.639999	-197.152008	1142.651978	-11.690000	-11.305000	-27.247499
-146.216995	-174.277008	1233.541992	-10.815000	2.078125	-22.522499
-91.927002	-240.949997	1180.289062	-10.513125	7.656250	-18.528126
-177.815002	-183.000000	1165.222046	-3.780000	3.530625	-21.608126
-133.468002	-200.445999	1109.895020	-1.286250	4.851875	-20.168751
-201.483002	-107.116005	1114.042969	-1.719375	3.526250	-18.746876
-152.561005	-112.239998	1076.100952	-0.971250	-5.836250	-14.039375
-146.460999	-58.255001	1096.230957	5.446875	-3.976875	-7.717500
-129.320007	-74.907997	1089.032959	7.048125	0.568750	-2.594375
-132.979996	6.649000	1097.207031	3.552500	2.226875	1.701875
-114.131004	-8.174000	1097.024048	1.841875	0.245000	2.699375
-157.074997	26.535000	1102.453003	3.373125	2.218125	-2.314375
-116.693001	2.867000	1098.244019	0.945000	-3.101875	0.196875
-190.197998	-34.647999	1123.315063	2.537500	2.581250	0.857500
-195.078003	-38.307999	1092.144043	1.553125	3.561250	0.651875
-190.990997	-13.481000	1089.703979	0.437500	1.356250	-0.910000
-189.587997	-13.176001	1072.989990	-0.161875	1.855000	-2.270625
-199.287003	24.705000	1060.607056	-0.161875	1.855000	-4.681250
-199.287003	113.826004	1081.591064	-1.697500	3.084375	-4.681250
-208.803009	113.826004	1081.591064	-1.194375	0.678125	-5.923750
-164.822006	226.615005	1069.146973	1.211875	0.179375	-9.961875
-229.604004	293.105011	1090.497070	3.465000	2.069375	-17.731874
-247.660004	315.796997	1138.748047	3.574375	0.980000	-25.628750
-218.990005	309.819000	1134.355957	3.867500	4.585000	-33.420624
-201.361008	341.843994	1089.459961	7.175000	20.916876	-49.870625
-167.078995	249.977997	1070.183960	13.580000	26.901875	-54.201874
-111.569000	293.166016	983.625000	24.031876	24.745001	-65.130623
-87.656998	202.276001	922.197998	26.635000	15.019375	-79.384377
-183.975998	98.392998	1058.716064	36.176876	2.940000	-84.818123
-66.917000	106.201004	974.109009	24.211250	6.759375	-87.670624
-70.515999	-8.113000	1112.151978	12.801250	-3.911250	-81.650627
-81.069000	-14.701000	1139.602051	14.161875	-10.815000	-91.275627
16.409000	-102.663002	1212.924072	25.322500	-15.802500	-95.383751
-52.277000	-147.619995	1202.126953	29.408751	-7.608125	-91.686874
172.934998	-169.397003	1146.006958	37.353748	-2.463125	-71.308128
13.908000	-317.871002	1285.391968	32.051250	-1.067500	-58.996876
3.111000	-318.054016	1231.895020	27.431250	11.891250	-60.165001
-227.285995	-381.127991	1251.415039	22.688749	12.958750	-63.621250
-162.320999	-355.446991	1215.485962	13.470625	4.790625	-48.654373
-194.956009	-285.296997	1167.174072	7.393750	0.551250	-44.275002
-173.910995	-347.821991	1150.216064	5.368125	-5.053125	-38.906876
-178.852005	-191.540009	1116.666016	6.457500	-3.241875	-32.147499
-163.846008	-202.214996	1099.708008	-0.713125	-1.548750	-20.790001
-135.785995	-124.683998	1086.287964	-4.383750	-4.781875	-7.341250
-170.678009	-82.837997	1082.994019	-0.643125	-0.441875	-4.436250
-161.466995	-71.003998	1060.607056	-2.279375	7.192500	-6.155625
-211.548004	-10.614000	1069.025024	-1.255625	10.351250	-5.525625
-212.889999	-56.242001	1078.052979	0.621250	3.618125	0.590625
-256.261017	-4.941000	1095.560059	1.500625	2.340625	1.526875
-223.382004	-20.374001	1082.932983	3.736250	0.721875	4.191250
-217.098999	-10.248000	1111.664062	4.589375	-0.446250	3.640000
-250.283005	-63.013000	1061.827026	-0.358750	-8.421875	-4.816875
-254.736008	-54.229000	1108.614014	2.340625	-10.920000	-3.430000
-238.143997	-59.475002	1092.754028	2.056250	-5.600000	-3.434375
-242.902008	-54.351002	1084.519043	2.056250	-7.516250	-6.251875
-220.027008	-28.914000	1091.838989	-1.903125	-7.516250	-6.251875
-220.027008	-8.113000	1079.516968	-1.211875	-11.834375	-7.026250
-214.781006	-8.113000	1079.516968	-3.491250	-4.427500	-4.121250
-212.158005	46.665001	1105.320068	2.209375	-5.411875	-2.498125
-154.085999	149.145004	1120.203979	6.593125	-7.109375	-4.746875
-93.452003	252.357010	1118.130005	5.709375	2.988125	-8.168125
-76.737999	367.403015	1157.109009	5.311250	-0.249375	-15.820000
-110.653999	256.566010	1147.471069	4.191250	11.051250	-21.656250
-89.243004	294.203003	1089.765015	8.693125	23.165625	-39.764374
-144.020996	181.414001	1181.447998	19.328751	20.873125	-52.727501
-42.761002	211.914001	1080.370972	15.780625	28.660625	-62.995625
-164.395004	1.525000	1148.935059	26.271875	23.056250	-63.520626
-86.620003	-13.908000	1151.863037	33.053123	15.391250	-72.379997
-167.994003	-4.941000	1058.228027	28.581875	6.606250	-84.297501
-160.003006	-63.744999	1069.086060	34.304375	3.753750	-88.493126
