A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
270.962006	171.410004	1070.183960	0.770000	-0.538125	-5.425000
261.628998	166.102997	1081.407959	0.770000	-0.538125	-4.668125
250.404999	177.022003	1068.415039	3.031875	-1.583750	-4.668125
250.404999	177.022003	1079.699951	3.189375	-2.808750	-4.217500
246.684006	179.156998	1079.699951	1.798125	-2.835000	-2.953125
246.684006	174.154999	1094.096069	2.340625	-1.360625	-2.773750
232.531998	170.800003	1211.886963	5.241250	-4.458125	-2.191875
238.205002	200.934006	1350.540039	8.203125	-8.898750	0.315000
219.477997	226.005005	1502.674072	5.311250	-5.228125	3.762500
159.210007	238.998001	1512.800049	-2.073750	6.501250	8.168125
210.266998	205.082001	1489.802979	-6.470625	16.638124	1.264375
205.326004	250.954010	1452.837036	-9.051875	9.926875	-5.263125
303.963013	229.055008	1326.140015	-15.273125	1.395625	0.713125
306.890991	183.365997	1275.998047	-21.761250	10.136875	4.711875
385.032013	201.604996	1268.494995	-23.808750	42.538124	2.331875
275.842010	134.809998	1290.454956	-17.513124	69.798752	1.894375
212.402008	168.908997	1229.638062	-11.077500	69.877502	-4.309375
175.619003	167.384003	1147.287964	-13.142500	65.878754	1.754375
93.573997	87.108002	1082.750000	-14.958125	52.408127	3.263750
72.956001	78.140999	981.916992	-12.880000	41.965000	-1.260000
12.444000	90.646004	990.700989	-18.094999	31.928749	3.556875
35.685001	49.348999	930.005981	-12.429375	17.346874	11.606875
44.103001	25.315001	864.247986	2.187500	52.985626	1.058750
-23.363001	49.471001	871.018982	1.780625	71.798126	-9.896250
-8.540000	40.320999	788.608032	-0.980000	39.453751	-4.650625
-148.352005	36.355999	772.504028	-3.390625	36.688751	-14.122500
-114.862999	76.067001	788.729980	-9.874375	18.851875	-14.713125
-173.057007	11.956000	831.429993	-14.087500	10.101875	-8.478750
-168.421005	36.173000	847.290039	-15.973125	7.345625	-7.275625
-172.507996	9.211000	872.788025	-10.530625	2.108750	-8.308125
-214.415009	-36.234001	946.720032	-5.748750	-3.123750	-6.094375
-175.740997	-17.263000	978.928040	-7.516250	-6.510000	-4.405625
-176.533997	-41.418999	1009.794006	0.091875	-5.390000	-2.734375
-197.518005	-53.253002	1067.622070	0.888125	-5.928125	-1.553125
-180.682007	-22.204000	1085.983032	5.005000	-6.164375	-2.909375
-202.459000	-33.244999	1107.454956	6.461875	-2.786875	-0.415625
-173.240005	12.932000	1112.091064	2.130625	-3.290000	2.603125
-199.531006	-4.392000	1130.146973	3.193750	-2.261875	3.788750
163.358002	189.770996	1100.013062	5.407500	-2.340625	-8.505000
153.903000	189.587997	1108.919067	4.392500	-3.898125	-8.841875
168.360001	181.109009	1106.661987	4.051250	-3.889375	-7.135625
162.443008	161.040009	1108.004028	0.774375	-1.631875	-5.639375
134.626999	158.112000	1127.707031	0.323750	-4.073125	-5.556250
66.917000	187.636002	1262.089966	0.406875	-4.668125	-3.902500
44.469002	198.615997	1573.800049	5.320000	-7.205625	2.331875
-26.779001	265.654999	1738.438965	10.399375	3.823750	1.662500
-27.572001	237.716995	1823.838989	-4.681250	15.872500	-2.975000
-43.188000	276.756989	1794.742065	2.043125	-4.348750	-5.687500
285.419006	260.104004	1787.117065	1.120000	6.860000	-4.917500
287.066010	322.690002	1471.503052	-7.367500	65.506874	-7.201250
185.744995	244.244003	1345.294067	-11.243750	99.596878	-1.391250
251.869003	200.751007	1202.187988	-6.181875	101.259377	-0.848750
195.749008	236.497009	1038.525024	-10.657500	116.786247	-1.063125
127.917000	205.203995	945.377991	-16.086876	119.599373	8.076250
38.857002	136.457001	803.979980	-12.127500	108.587502	0.428750
-146.156006	92.170998	687.286987	-5.836250	88.300629	-9.725625
-229.421005	114.862999	683.809998	-20.453125	35.192501	-0.695625
-212.524002	34.892002	604.632019	-32.480000	-17.613750	4.913125
-166.529999	45.079002	658.129028	-35.450626	-33.634998	11.099375
-173.057007	5.551000	673.927979	-18.274376	-7.039375	6.230000
-241.499008	-7.808000	735.171997	1.448125	24.622499	-8.308125
-277.428009	48.799999	751.885986	9.371250	24.561251	-22.268749
