AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
-137.34150425	135.03875175	969.3815077500001	-0.29859375	-1.7833593749999999	-0.21546875000000004
-130.753504	115.938126	925.080253375	-0.859140625	0.5452343749999997	-1.21625
-125.48462987500001	104.59212624999999	859.16212825	-0.800078125	1.6953125	-2.437421875
-112.11037937500001	100.60425125	780.34250625	-2.14265625	2.5385937499999995	-2.7671875
-89.311628	86.55900075	713.791511375	-3.787109375	4.331796875	-3.9478906250000003
-75.25875337500001	77.431876	653.439636125	-5.683125	5.43484375	-6.06867175
-71.819877125	74.969000625	604.1058882499999	-6.48703125	6.315859375	-8.179609124999999
-76.1890015	73.1237505	565.325134125	-6.5603125	6.31640625	-10.473749625
-76.280500875	64.38550074999999	570.578758125	-5.031796875000001	2.8180468750000003	-12.204062125
-76.9286255	75.61712612499998	623.076881375	-2.9203125000000005	-1.35898425	-13.24476525
-85.750750875	80.24550112499999	717.37526325	-3.1795312500000006	-7.087499875000001	-11.971093375
-86.90975037499999	79.010250625	830.309143125	-2.56375	-13.801484125000002	-10.003437125000001
-108.45037637499999	75.609500625	944.40965275	-1.4355468750000004	-20.3448435	-6.445468375000001
-107.01687612500001	74.557250625	1057.000404375	0.04156249999999978	-25.65718725	-2.016874750000001
-105.25550175	70.2415005	1176.6900329999999	0.02789062499999939	-32.88578125	2.916484625
-88.24412687499999	68.76987512500001	1296.0289078749997	1.1145312499999995	-37.58453125	7.930781375
-77.866501875	85.987125875	1382.099907	1.0970312500000001	-38.809531125	12.59070325
-61.41937675	94.161126625	1436.4127807500001	-0.25101562499999996	-38.093671875000005	17.29328125
-36.523751	96.700252125	1442.916900625	-0.28874999999999984	-32.563671875000004	19.406953125
-27.88462625	100.848252875	1422.100646875	-0.27835937499999985	-24.411406375	19.511953125
-13.320875500000001	114.153878125	1372.888885375	-0.029531249999999842	-16.553906375	18.122343750000002
-10.3013755	121.87800312499999	1314.489005875	0.49382812499999995	-9.941640749999998	16.113671874999998
0.44987487500000056	128.73287775	1233.023506	1.59359375	-1.7680467499999994	13.378749875
-2.645875125	129.495377625	1154.9511334999997	1.0188281250000002	3.522422	10.45679675
0.7472497499999997	124.32562750000001	1089.59725925	0.3532812499999999	7.270703124999999	7.4462498749999995
0.6404999999999994	112.46875112500001	1036.3823849999999	0.09078124999999984	9.66765625	4.400703125000001
-0.9150000000000001	102.49525087500001	1003.8617627499999	0.592265625	10.631796875	2.030546875
2.3408750000000005	94.1001255	993.59088875	1.34859375	9.718515624999998	0.8394531249999999
3.850625	88.312750125	991.1203916249999	2.259140625	8.967109375	0.41398437500000007
1.5936248749999993	83.379375625	996.2367704999999	2.573046875	8.014453125	0.489453125
-0.37362500000000054	80.733500625	1000.3161391250001	2.6085937500000003	7.710937500000001	0.870625
-4.986750125	79.772751	1003.7931365	2.5730468749999997	7.317187499999999	1.75
-30.423751125000003	80.436125875	964.2956389999999	1.8861718749999998	5.8975	1.0500000000000003
-70.836252	88.33562575	912.4075165	1.25890625	3.5202343749999994	1.1517187500000001
-102.50287775000001	95.78525074999999	861.11413575	0.9132812500000004	0.014218874999999631	1.3945312500000002
-150.70050225	102.876501125	814.144134625	0.4823437500000005	-3.3906248750000008	-0.0967968749999999
-174.68112662500002	101.57262612500001	777.41451275	-1.38578125	-8.01609375	-1.855
-189.83200175	95.6632505	741.744758625	-3.9577343750000002	-11.25960925	-4.772578125
-212.074126375	74.374250875	708.644638	-7.59171875	-13.512187375	-7.3303125
-234.140876875	57.835625625	684.847015375	-10.166953125000001	-15.8085155	-9.518359375
