AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
141.79450625	45.14000125	1046.820984	-25.616719000000003	-27.83921875	-29.081719
139.583256	45.9177515	1047.75125125	-25.623281749999997	-27.83921875	-29.0554685
139.52225525	47.79350125	1047.06500225	-25.74578175	-27.800937750000003	-29.0510935
141.84025225	49.486250999999996	1049.21527075	-25.777500500000002	-27.724375499999997	-29.04124975
142.526501	49.31850075	1049.2305295	-25.832188000000002	-27.699218999999996	-29.05874975
143.807499	48.41875	1049.2305295	-25.9153125	-27.70031275	-29.059843750000002
143.36524949999998	46.71074975	1046.25677475	-25.87921875	-27.70468775	-29.036875000000002
141.48950175	48.35774925	1045.1740112500001	-25.807031249999998	-27.751719	-29.04343775
141.657253	48.159499249999996	1046.2262572500001	-25.720625	-27.8020315	-29.06750025
142.923004	46.35999975	1047.11074825	-25.712969	-27.777969000000002	-29.09375
144.05150225	48.6170005	1049.8099975	-25.77312475	-27.777969000000002	-29.09375
143.883751	48.32725125	1048.9559935	-25.830000000000002	-27.73968775	-29.105781
144.06674975	49.776001750000006	1048.83401475	-25.84421875	-27.700313	-29.106875
143.1365015	49.12025150000001	1049.04751575	-25.8595315	-27.694844	-29.12984375
141.93175125	46.848001499999995	1046.5617674999999	-25.8267195	-27.67078125	-29.1910935
167.99400325	44.682501	1048.6357727500001	-25.581719	-28.4714065	-30.22031225
195.032253	38.97900075	1045.11300675	-25.43734425	-29.064219	-30.40078075
222.48225000000002	35.73075075	1042.04776025	-25.237188	-29.502813000000003	-30.20718725
248.98675150000003	33.85500025	1040.9649965	-25.117969249999998	-29.725938	-30.226875
253.683754	28.7615005	1033.614502	-25.237188249999996	-28.4681255	-29.57499975
250.20675674999998	31.018500000000003	1038.3724975	-25.787344249999997	-25.93281275	-29.529062250000003
248.63600925	37.14899975	1039.44000225	-26.26312525	-24.344688	-29.911874750000003
250.95400999999998	34.20575	1036.93902575	-26.158125	-23.22031325	-30.5790625
246.10450749999998	35.09025	1040.736267	-26.3932815	-21.841094249999998	-30.761719
244.07625574999997	34.404000249999996	1037.0000304999999	-26.3714065	-21.812656750000002	-31.2189065
238.28125375000002	27.52625075	1040.278778	-26.456719250000003	-21.53046925	-31.088749999999997
228.18575275000003	34.190501	1030.53401175	-28.210001	-19.5496875	-29.343124999999997
222.20775200000003	31.43025075	1035.780014	-28.957032249999997	-19.30796875	-28.55453125
214.32350150000002	25.345500750000003	1047.41575625	-29.31140725	-18.71734375	-27.7954685
208.4522515	22.9970005	1043.8167572500001	-29.430625499999998	-17.95062475	-25.0096875
189.283001	11.60525	965.41651925	-28.27562475	-22.71390625	-20.478281
190.5792505	5.673	957.6390227500001	-27.23109325	-25.8245315	-10.99874975
206.652752	12.23049975	942.9685210000001	-26.166874749999998	-28.51078125	-3.4114062500000006
195.24575425	14.823	942.35850525	-25.51062475	-31.0165625	-2.743125
208.11675275	11.69675	1035.91723625	-24.80625	-29.44593775	-3.3359375000000004
169.62575349999997	35.63924925	1278.6362305	-15.34203125	-6.584375499999998	-13.20484375
177.1897565	10.339499	1337.9434815	-14.34015575	-1.187813249999998	-28.101719
179.55350700000002	10.064998500000002	1352.3089905000002	-14.244999749999998	-0.8520322499999988	-33.6820315
165.73700925	5.0629985	1400.08724975	-15.4492185	0.25593675000000093	-38.57875
192.39400874999998	-5.44425025	1162.4617615	-25.14203125	-21.2964065	-38.11390625
153.72000524999999	26.306250249999998	1105.36575325	-26.592343999999997	-26.558437750000003	-30.966249750000003
143.8532525	31.3235005	1084.3055115	-26.562813	-26.303594	-28.64093725
152.91175074999998	40.0770005	1053.2107545000001	-24.18390675	-26.452344000000004	-26.998124999999998
147.31500250000002	37.56074975	1051.7619935000002	-24.82593775	-27.93984425	-28.66171875
150.182003	38.826500749999994	1084.5190125	-26.116562750000003	-30.03437575	-28.836719000000002
131.37875375	44.011500999999996	1098.9912720000002	-28.203437	-33.859218999999996	-30.149219000000002
128.999756	24.262751249999997	1108.5530395	-30.766093	-39.3181255	-36.3759375
145.3477555	-4.452999249999998	1139.06829825	-14.340155999999999	-44.58234375000001	-38.0165625
183.48800275	2.8822497499999997	1108.6597900000002	6.170937500000003	-51.27062500000001	-42.8290625
233.142002	15.7684995	1118.5417785	14.171718250000001	-57.74343775	-46.880313
248.9257505	58.60574925	1089.6277770000002	11.598124250000003	-56.2143745	-45.15656275
251.44200099999998	113.65824900000001	1042.29176325	-14.02843675	-49.33796825	-45.000156499999996
216.13825200000002	97.996499	1052.41777025	-35.64968675	-43.06421775	-46.4898435
206.820503	88.8617485	1047.400528	-41.07796775	-32.59703025	-46.3793745
191.9517515	100.83299725	1045.296036	-40.7203115	-26.900780750000003	-48.88953125
188.21549975	77.530998	1084.8240357500001	-31.589687249999997	-23.447812250000002	-52.0592185
204.2280005	101.9157495	1075.8417665	-31.82484325	-16.587812500000002	-50.1145315
204.19750200000001	117.6995	1040.065262	-33.620781	-18.1835935	-51.88749975
227.92650600000002	86.16250124999999	1059.966507	-30.272812250000005	-25.00968675	-53.548906249999995
233.73675525	94.321251	1031.464264	-36.606719	-31.333749499999996	-52.111719
235.44475549999999	82.79224975	992.21076975	-42.8465625	-34.05062425	-51.0234375
248.43775174999996	49.71499975	995.62677	-48.138125	-35.16078125	-48.927812749999994
233.6452485	58.803999499999996	957.3492585	-53.998436999999996	-30.082500250000002	-46.38593775
235.8260005	57.218001	943.22775275	-51.61843675	-20.81078125	-46.025000750000004
238.052502	39.055250750000006	976.32026675	-46.51171875	-15.7751565	-46.611250999999996
231.52550524999998	56.760501000000005	987.2087554999999	-42.99093725	-5.1242185000000005	-43.552032499999996
252.32650775000002	53.4817515	1019.03552225	-37.7857815	-0.7732812500000001	-38.44640749999999
243.64925774999998	42.16625075	1046.0890195	-34.092187499999994	-4.2065625	-30.97609425
228.20100775	45.70425074999999	1048.68151825	-32.57953125	-8.24031225	-22.706250249999997
217.55650725	25.8487505	1064.92275975	-31.611563250000003	-14.507499750000001	-16.74859375
184.93675625	16.317500250000002	1060.9577330000002	-30.2629695	-18.552187	-13.123906
183.19825375	1.6927499999999984	1058.1822510000002	-27.247501	-21.929686750000002	-12.43265625
168.72600200000002	1.3267499999999997	1044.79274	-16.3318755	-22.905312000000002	-11.817968749999999
139.62900175	14.60950025	1028.4295045	-2.5353122500000005	-14.230780749999997	-8.16921875
137.05175025	13.648750249999999	1044.22851575	13.769219249999999	-7.722968499999999	-6.997812499999999
109.28150175	41.57150125	1042.70349125	23.14703175	-5.7257815	-8.6646875
119.65150075000001	53.786752	1073.85923775	22.31796925	-6.284688	-12.88875
102.41900000000001	102.23600325000001	1030.640732	14.91437525	-13.679531749999999	-19.45124975
84.33249975000001	142.08425325000002	975.3442385000001	8.763124999999999	-7.7218755	-22.7631245
64.18724900000001	164.91350175	995.70300325	12.5518745	-2.3110939999999993	-22.55421825
