A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-133.651001	-38.979000	1095.743042	1.544375	2.493750	-2.786875
-141.703003	-21.045000	1092.144043	2.240000	2.126250	-3.233125
-146.766006	-28.975000	1103.734009	0.892500	-0.332500	-1.478750
-131.149994	-16.592001	1098.182983	0.516250	-1.172500	-1.859375
-125.111000	-43.126999	1111.176025	1.211875	-1.133125	-1.111250
-130.540009	-12.566000	1106.784058	2.183125	-0.993125	-2.769375
-125.355003	-34.952999	1107.638062	1.478750	-2.117500	-1.570625
-118.035004	-33.549999	1097.695068	1.627500	0.240625	-2.073750
-107.787003	-57.401001	1059.509033	3.430000	2.493750	-3.241875
-111.996002	-76.372002	1025.654053	3.705625	1.141875	-4.974375
-62.403000	-153.964005	921.770996	3.469375	2.594375	-8.531250
-80.031998	-193.065002	816.851013	6.072500	9.331875	-11.528125
-69.845001	-205.143005	715.591003	5.411875	2.419375	-10.049375
-122.061005	-206.667999	654.286011	13.444375	-14.389375	-0.201250
-81.251999	-165.188004	730.658020	1.881250	-29.942499	-3.128125
1.769000	-100.467003	837.041992	-7.866250	-28.380625	13.230000
-62.586002	-60.695000	990.762024	-16.520000	-14.428750	13.418125
12.566000	-140.544006	1188.401978	-16.961876	-24.683750	18.121250
37.881001	-73.993004	1289.601074	2.944375	-38.674999	17.482500
49.776001	-154.695999	1242.326050	8.561875	-52.228748	28.818125
88.145004	-88.266998	1221.708008	24.692499	-47.556252	35.940624
113.277000	-59.779999	1160.586060	28.892500	-30.594376	37.668751
120.109001	16.226000	1203.895996	29.120001	-19.481874	34.606251
125.598999	33.793999	1066.890015	46.593750	6.671875	25.781876
49.776001	342.697998	1341.390015	37.743126	25.563126	33.258751
80.276001	239.791000	1213.777954	29.185625	25.650625	49.490002
-21.410999	355.446991	1183.765991	20.234375	22.176874	51.226875
16.896999	287.248993	1215.485962	6.247500	19.801250	51.668751
11.285000	208.132004	1124.473999	20.584375	10.425625	39.637501
-42.882999	414.983002	1198.161987	19.796875	-7.328125	27.584375
80.520004	298.229004	1135.697998	1.347500	-36.570625	34.348125
44.225002	265.959991	1158.328979	-0.205625	-49.581875	19.105625
175.253006	296.947998	1173.518066	-1.260000	-56.288750	8.942500
163.785004	218.136002	1240.557007	3.220000	-50.592499	5.320000
211.425995	288.468994	1328.946045	3.220000	-50.592499	-2.340625
213.134003	249.429001	1310.401978	7.144375	-37.690624	-2.340625
-130.600998	-26.474001	1161.867065	-5.893125	-14.306250	-7.210000
-131.149994	7.503000	1152.473022	-5.543125	-6.601875	-6.221250
-126.209000	-7.320000	1120.813965	-5.464375	-3.661875	-1.400000
-124.318001	-17.750999	1135.453979	-5.171250	-1.723750	1.006250
-127.612000	-7.198000	1121.790039	-4.073125	1.058750	1.990625
-149.632996	-55.510002	1124.535034	-4.073125	-1.430625	3.176250
-133.712006	-67.404999	1102.331055	-3.255000	-1.430625	3.176250
-133.712006	-67.404999	1069.208008	2.511250	1.338750	-1.496250
-131.759995	-152.927002	1069.208008	9.327500	3.902500	-4.007500
-100.894005	-273.463013	998.997009	12.613125	9.410625	-0.227500
-104.676003	-319.029999	873.031982	23.756250	21.743750	3.447500
-180.682007	-241.804001	860.161011	22.623125	25.926250	5.031250
-93.757004	-309.209015	805.017029	12.652500	18.427500	9.782500
-132.309006	-209.046997	814.289001	11.353125	4.606875	18.921875
-100.650002	-218.929001	858.635986	8.881250	-17.307501	24.709999
-42.212002	-65.514000	933.299988	7.835625	-41.855625	39.891251
-11.956000	-28.853001	1051.213013	7.148750	-45.088749	40.573750
60.389999	-0.976000	1027.666992	7.822500	-41.273750	48.343750
115.595001	180.072006	1153.144043	17.535000	-32.598125	49.844376
59.963001	271.084015	1158.207031	19.026875	-48.461876	62.877499
48.617001	309.696991	1155.096069	27.921249	-38.758125	57.146252
69.357002	475.678009	1300.703003	9.878750	-30.309999	51.839375
110.531998	419.009003	1275.571045	1.404375	-28.385000	40.945625
20.557001	435.417999	1396.778076	12.718125	-4.497500	23.773750
-22.021000	451.644012	1249.828979	13.216875	-10.692500	19.293751
-41.114002	436.882019	1159.915039	8.054375	-32.794998	18.125626
132.309006	391.985992	1185.291016	1.019375	-34.776875	12.315625
189.100006	360.022003	1189.195068	-7.625625	-32.033749	2.209375
162.565002	299.265991	1186.450073	-13.514375	-36.391251	0.713125
206.180008	263.641998	1196.026978	-11.077500	-27.334999	-0.345625
243.938995	208.436996	1224.758057	-7.538125	-24.145624	2.581250
254.370010	197.335007	1220.365967	-2.738750	-14.070000	3.495625
207.278000	125.843002	1209.081055	0.831250	0.590625	7.901250
213.195007	116.693001	1161.440063	2.366875	4.571875	3.106250
196.175995	113.704002	1118.068970	4.580625	6.820625	-1.382500
178.242004	111.386002	1093.302979	3.692500	4.221875	-2.690625
182.328995	123.098000	1094.218018	1.190000	-2.852500	-5.621875
201.604996	144.753006	1097.328979	-1.688750	-3.193750	-6.475000
-66.246002	-20.434999	1114.165039	0.993125	-5.368125	0.796250
-43.859001	-55.021999	1127.036011	-0.310625	-4.904375	0.748125
-67.039001	-13.298000	1126.914062	-0.844375	-1.968750	-0.021875
-52.459999	-32.208000	1131.610962	-3.508750	-10.596250	-0.126875
-17.750999	-42.028999	1141.737061	-3.898125	-6.903750	-1.513750
-1.342000	-72.223999	1132.464966	-4.326875	1.500625	-1.408750
-22.631001	-179.584000	1123.437012	3.661875	3.815000	-0.406875
4.514000	-270.718018	1090.680054	17.517500	4.760000	-4.983125
2.440000	-326.411011	944.707031	22.303749	11.274375	0.568750
44.652000	-497.149994	862.661987	27.807501	12.656875	10.876250
25.864000	-408.578003	732.671021	32.095001	10.084375	11.900000
59.475002	-354.714996	646.783020	24.320625	4.830000	15.356250
5.063000	-231.921997	725.289978	25.882500	7.437500	32.808125
-53.862999	-139.811996	730.231018	40.683125	7.665000	36.929375
73.261002	76.737999	979.049988	48.899376	-7.402500	54.814377
-132.979996	366.976013	845.155029	50.054375	-9.205000	53.366249
116.388000	368.683990	1172.968994	2.979375	-18.541250	57.583752
78.385002	510.997009	1100.500977	-17.399376	-17.224375	49.087502
58.316002	484.523010	1204.994019	-37.852501	-8.736875	30.633751
-60.695000	402.600006	1524.207031	3.723125	-19.617500	28.559999
-19.459000	633.179993	1312.292969	7.621250	-42.253750	33.556252
62.890999	376.308990	1421.544067	-4.344375	-72.003754	18.392500
193.065002	372.954010	1497.794067	-6.321875	-62.860001	16.353750
167.567001	230.824005	1385.432007	-3.500000	-35.363125	8.255625
79.605003	284.687012	1356.395996	9.918125	-20.628124	-0.971250
124.683998	295.972015	1266.786987	6.886250	-14.962500	4.755625
137.128006	190.869003	1173.151978	0.800625	-14.205625	10.416875
183.122009	191.662003	1158.755981	-0.931875	-4.707500	8.373750
174.033005	165.859009	1117.703003	-3.876250	2.953125	4.283125
174.582001	123.159004	1131.671997	-3.097500	4.532500	0.476875
195.749008	131.210999	1111.786011	-1.155000	3.005625	-4.182500
175.009003	128.222000	1084.519043	0.214375	1.076250	-6.566875
174.826004	130.173996	1105.747070	2.113125	-1.071875	-6.715625
192.272003	132.796997	1077.687012	2.585625	0.035000	-7.927500
161.772003	150.669998	1112.457031	1.351875	-0.713125	-6.050625
188.490005	133.956009	1109.468018	0.555625	0.686875	-2.318750
167.872009	117.486000	1108.125977	-2.200625	1.505000	-3.268125
174.887009	95.465004	1128.561035	0.043750	0.306250	-1.456875
33.367001	-28.914000	1149.362061	2.371250	-7.564375	0.765625
34.160000	-27.938000	1150.947998	2.327500	-2.555000	-0.288750
74.481003	-69.235001	1147.410034	0.363125	0.455000	-1.325625
46.177002	-47.153000	1104.282959	-3.027500	2.380000	-1.019375
76.982002	-98.087997	1098.182983	-7.459375	-0.791875	2.769375
50.447002	-109.128998	1062.742065	-4.278750	-2.677500	3.381875
87.656998	-193.796997	1054.263062	-0.030625	-2.283750	0.109375
104.188004	-266.752991	946.476013	8.513750	-3.521875	-2.585625
115.655998	-385.946991	848.083008	9.712500	-2.174375	2.375625
96.258003	-377.528992	788.669006	17.080000	2.148125	5.534375
84.850998	-323.239014	728.705994	28.078751	3.854375	6.916875
59.963001	-265.838013	767.075012	32.305000	-20.090000	25.059999
60.024002	-119.376999	799.832031	54.919376	-27.807501	37.734375
155.428009	12.383000	955.504028	51.642502	-14.546875	30.489374
95.953003	207.826996	1021.079041	33.175625	-16.953125	40.018124
152.927002	280.477997	1162.416016	15.977500	-63.205624	57.496250
312.381012	359.533997	1172.603027	0.638750	-102.261253	65.782501
434.563995	298.899994	1262.456055	-9.848125	-97.247498	66.631248
569.739990	166.102997	1455.886963	4.449375	-70.831253	40.140625
508.130005	349.041992	1333.826050	15.124375	-57.583752	16.808750
485.377014	368.867004	1153.083008	14.568750	-44.126251	10.784375
366.427002	385.886017	1120.570068	12.385625	-50.251251	7.459375
506.666016	340.623993	1071.404053	19.862499	-66.600624	18.375000
543.692993	232.897995	1130.452026	19.201876	-74.694374	12.468750
691.069031	313.235016	1163.758057	17.338125	-57.080624	10.600625
679.966980	248.270004	1160.586060	10.946250	-20.663124	12.761875
573.156006	203.374008	1114.713989	-0.183750	21.660625	4.847500
553.392029	191.723007	1070.306030	-7.525000	37.716873	-3.828125
485.255005	178.608002	1034.255005	-9.218125	27.168751	-8.163750
498.369995	133.712006	993.263000	-12.315625	19.591249	-11.751250
490.135010	139.994995	1013.880981	-9.843750	19.092501	-15.146250
462.075012	147.070999	990.213013	-4.803750	17.058125	-14.813750
497.699005	131.272003	993.263000	-5.516875	15.273125	-12.306875
495.442017	113.826004	1019.309998	-2.148125	11.558750	-8.544375
483.912994	113.216003	995.825012	-1.225000	8.211875	-7.004375
470.066010	94.793999	1031.083008	1.155000	10.311875	-4.930625
413.885010	73.139000	992.653015	2.152500	10.968125	-0.297500
458.476013	15.921000	1062.558960	1.981875	11.790625	3.806250
-120.169998	-130.296005	1091.290039	0.319375	2.283750	-1.999375
-122.000000	-107.420998	1096.353027	-5.906250	-2.165625	-3.163125
-102.785004	-120.779999	1102.697021	-5.350625	-3.832500	-1.198750
-91.744003	-110.959000	1123.192993	-3.333750	-3.832500	-1.876875
-72.163002	-133.529007	1100.135010	-1.439375	-1.351875	-0.971250
-69.905998	-170.983002	1091.350952	0.621250	-0.153125	-2.979375
-48.494999	-199.287003	1014.796021	2.130625	1.649375	-5.757500
-48.312000	-331.291016	943.609009	6.868750	-0.647500	-6.938750
36.904999	-436.699005	856.744995	11.095000	-3.237500	-11.116875
6.832000	-450.058014	733.830017	8.373750	6.807500	-7.595000
-15.921000	-328.667999	706.440979	3.723125	4.042500	-4.615625
-39.345001	-358.679993	748.226013	3.915625	-4.291875	-0.993125
18.177999	-316.223999	811.299988	7.940625	-6.024375	6.969375
54.229000	-144.936005	1026.020020	16.436874	3.171875	9.406250
-65.696999	-154.391006	1012.721985	30.485001	3.451875	17.001249
-52.826000	-50.507999	1036.084961	32.694374	14.573125	17.290001
-109.495003	95.098999	941.718018	33.477501	17.202499	27.846874
-141.154007	193.065002	1132.587036	29.509375	-1.312500	26.197500
-199.531006	429.989014	1191.696045	-13.855625	-5.827500	17.373125
-125.293999	288.652008	1175.469971	-33.770626	-29.522499	33.451248
-141.886002	250.283005	1458.448975	-23.362499	-90.352501	61.026875
